date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
2018-06-23,blue,"Rainbow Boulder C, Wein’s Law","jug, crimp",face,natural,V4,,,North Lake Tahoe,outdoors
2018-06-23,orange,"Rainbow Boulder A, Continuum",crimp,arete,dyno,V7,,,North Lake Tahoe,outdoors
2018-07-02,blue,Goat Rock,jug,slab,natural,V0,,,Goat Rock Beach,outdoors
2018-07-02,blue,Lamb Boulder Traverse,"jug, crimp",overhang,natural,V4,,,Goat Rock Beach,outdoors
2018-07-04,orange,Meilee Traverse,"jug, crimp",cave,natural,V4,,,"Lizard’s Mouth, Santa Barbara",outdoors
2018-07-04,green,"Unnamed south face, sit-start",crimp,overhang,natural,V2,,,Stinson Beach,outdoors
2018-07-31,green,Stinson Beach Warm Up,jug,slab,natural,V0,,,Stinson Beach,outdoors
2018-07-31,green,Old Woman Crimp Traverse,crimp,face,natural,V2,,,Stinson Beach,outdoors
2018-07-31,green,Are You Experienced Standard Route,"crimp, pinch",overhang,natural,V3,,,Stinson Beach,outdoors
2018-08-03,green,Big Bottoms,sloper,face,natural,V2,,,Squamish,outdoors
2018-08-03,green,Titanic,crimp,face,natural,V3,Nick Gibbs,1997,Squamish,outdoors
2018-08-03,blue,The Mantis,"sloper, crimp",overhang,natural,V4,"Jack Fieldhouse, Scott Milton",2006,Squamish,outdoors
2018-08-03,blue,Easy in an Easy Chair,jug,overhang,natural,V4,Nick Gibbs,1996,Squamish,outdoors
2018-08-03,blue,Stupid Face,crimp,face,natural,V3,Remy Larocque,2008,Squamish,outdoors
2018-08-04,green,Summer Vacation,jug,face,natural,V0,Gord Ross,1992,Squamish,outdoors
2018-08-04,blue,Sloppy Poppy,crimp,variable,natural,V4,Stu Worrall,1996,Squamish,outdoors
2018-08-04,green,Squamish Days,pinch,overhang,natural,V2,,,Squamish,outdoors
2018-08-04,orange,The Viper,pinch,arete,natural,V5,Peter Michaux,1996,Squamish,outdoors
2018-08-04,blue,American Gigolo,crimp,arete,natural,V3,Tim Doyle,1996,Squamish,outdoors
2018-08-05,green,"The Silencer, Right Arete",jug,arete,natural,V2,Jack Fieldhouse,2000,Squamish,outdoors
2018-08-05,blue,Shots Fired,"jug, crimp",overhang,natural,V4,Jack Fieldhouse,2000,Squamish,outdoors
2018-08-05,green,Bang,crimp,face,dyno,V2,Jack Fieldhouse,2000,Squamish,outdoors
2018-08-05,blue,Center Slab,crimp,slab,natural,V3,Nick Gibbs,1996,Squamish,outdoors
2018-08-06,green,Detached Flake,"jug, pinch",face,natural,V1,Tyrone Brett,2000,Squamish,outdoors
2018-08-06,green,Nadia’s Slab,crimp,slab,natural,V1,Nadia Hallsworth,2006,Squamish,outdoors
2018-08-06,blue,"A Stroke of Luck, Right Exit",crimp,overhang,natural,V4,Curtis Suave,2002,Squamish,outdoors
2018-08-06,blue,Ape Span,crimp,face,dyno,V4,Greg Tos,2002,Squamish,outdoors
2018-08-06,orange,Space Monkey,"crimp, pinch",overhang,natural,V5,Tyrone Brett,2000,Squamish,outdoors
2018-08-06,blue,Rhino Face,jug,overhang,mantle,V3,Curtis Suave,2010,Squamish,outdoors
2018-08-24,green,The Cheech and the Choss,crimp,face,natural,V2,,,Mount Tamalpais,outdoors
