index,date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
200098,2017-12-18,blue,Unnamed Warm-up on the Tile Boulder,crimp,face,natural,V2,,,Yosemite,outdoor
200099,2017-12-18,blue,Zorro,"crimp, jug",face,dyno,V4,,,Yosemite,outdoor
200100,2017-12-19,blue,Tendon’s Give,"crimp, jug",overhang,dyno,V4,,,Yosemite,outdoor
200101,2017-12-23,blue,A Birthing Experience,crimp,overhang,comp,V1,,,Bishop Buttermilks,outdoor
200102,2017-12-23,orange,Devoted Traverse,"crimp, jug",overhang,natural,V5,,,Bishop Buttermilks,outdoor
200103,2017-12-26,green,Sheepherder,sloper,face,natural,V2,,,Bishop Buttermilks,outdoor
200104,2017-12-26,blue,Birthday Direct,crimp,face,natural,V3,,,Bishop Buttermilks,outdoor
200105,2017-12-27,blue,Heavenly Path,crimp,slab,natural,V1,,,Bishop Happy Boulders,outdoor
200106,2017-12-27,blue,Kling and Smirk,"crimp, sloper",overhang,natural,V2,,,Bishop Happy Boulders,outdoor
200107,2017-12-27,blue,Ketron Classic,crimp,overhang,natural,V4,Brian Ketron,,Bishop Happy Boulders,outdoor
200108,2017-12-27,blue,Serengeti,crimp,overhang,natural,V5,Marty Lewis,,Bishop Happy Boulders,outdoor
200109,2017-12-27,orange,"Acid Wash Right, Stand Start",crimp,overhang,natural,V7,Dustin Sabo,,Bishop Happy Boulders,outdoor
200110,2017-12-28,green,Brown Slab,crimp,slab,natural,V0,,,Bishop Sad Boulders,outdoor
200111,2017-12-28,green,World Shut Your Mouth,crimp,face,natural,V2,,,Bishop Sad Boulders,outdoor
200112,2017-12-28,blue,Molly Dyno,crimp,face,dyno,V5,,,Bishop Sad Boulders,outdoor
200113,2017-12-28,green,Hands-Free Slab,crimp,slab,natural,V0,,,Bishop Sad Boulders,outdoor
200114,2017-12-28,green,Hands-on Slab,crimp,slab,natural,V0,,,Bishop Sad Boulders,outdoor
200115,2017-12-29,green,The Prow,jug,face,natural,V2,,,Bishop Buttermilks,outdoor
200116,2017-12-29,orange,Fly Boy Arete,crimp,arete,natural,V5,,,Bishop Buttermilks,outdoor
200117,2017-12-30,orange,Solarium,crimp,face,natural,V4,Marty Lewis,,Bishop Happy Boulders,outdoor
200118,2017-12-30,orange,The Hulk,crimp,overhang,natural,V6,Peter Croft,,Bishop Happy Boulders,outdoor
200119,2017-12-30,orange,Sucker Punch,crimp,face,natural,V5,,,Bishop Happy Boulders,outdoor
200120,2017-12-31,green,Gotta Be Kidding Me Slab,jug,slab,natural,V0,,,Bishop Sad Boulders,outdoor
