date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
2017-09-26,green,Light Green Roof Comp Problem,jug,cave,natural,V7,Woman Up,,Dogpatch,indoor
2017-09-26,pink,"Pink face climb, dyno to an undercling sidepull, then some jugs, then a dyno finish","sloper, pinch",face,dyno,V7,Zak Grinstead,,Dogpatch,indoor
2017-09-26,green,"Dark Green Roof Problem, good holds all the way through, finish on some crimps","jug, crimp",cave,natural,V7,Max Krimmer,,Dogpatch,indoor
2017-09-27,pink,"Pink two dynos, mantle to the right for topout",jug,overhang,dyno,V7,Max Krimmer,,Dogpatch,indoor
2017-09-28,yellow,Soft yellow crimp ladder on the mushroom,crimp,overhang,natural,V7,Max Krimmer,,Dogpatch,indoor
2017-09-28,blue,"Blue one move wonder start, bump left hand to a crimp and hold the swing, easy topout",crimp,overhang,natural,V8,Buck Yedor,,Dogpatch,indoor
2017-09-30,yellow,"Yellow lieback on a jug, do a rose move while upside-down to a pinch, reach over to a crimp, then swing over. Difficult mantel after the semi-knee bar, slabby topout.","pinch, crimp",overhang,natural,V8,Radu Popescu,,Dogpatch,indoor
2017-10-02,green,Green typical Max problem with dyno and mantle,sloper,face,comp,V7,Max Krimmer,,Dogpatch,indoor
2017-10-03,purple,"Purple arete, overhanging start, powerful move to a crimp, bump up to sloper, traverse left to slopers by toe hooking the sloper, reachy finish","crimp, sloper",arete,natural,V7,,,Peak of Fremont,indoor
2017-10-07,red,"Red dyno/deadpoint to a sloper, move onto crimps, dyno finish, grade was inflated to V9","sloper, crimp",overhang,dyno,V8,Art,,Studio Climbing,indoor
2017-10-09,black,"Black crimps, Advanced Route #1",crimp,overhang,natural,V7,,,Metrorock Everette,indoor
2017-10-21,black,Black arete on slopers,sloper,arete,natural,V7,,,The Cliffs at LIC,indoor
2017-10-28,purple,Purple rainbow rocket emulator,jug,face,comp,V8,Kessler,,Studio Climbing,indoor
2017-11-13,blue,"Blue throw to an arete, toe hook arete, big move to a jug, rose move through a pinch onto slopers",jug,arete,natural,V8,Cath,,Planet Granite Belmont,indoor
2017-11-16,green,Green pipes,"pinch, jug",cave,natural,V7,,,Planet Granite Belmont,indoor
2017-11-18,purple,"Purple slopers, super soft",sloper,overhang,natural,V8,Jonathan Wright,,Dogpatch,indoor
2017-11-19,orange,"Orange dyno to a jug, easy topout",jug,overhang,dyno,V5,Max Krimmer,,Dogpatch,indoor
2017-11-21,orange,Orange crimps,crimp,face,natural,V8,Chaj,,Planet Granite Belmont,indoor
2017-12-03,yellow,"Yellow Comp Problem, back wall, overhang",crimp,overhang,comp,V7,Woman Up,,Dogpatch,indoor
2017-12-08,black,"Black pinches on the mushroom, dyno into a sloper, mantle the topout",pinch,overhang,dyno,V7,Max Krimmer,,Dogpatch,indoor
2017-12-05,orange,"Orange crimps on back topout near the downclimb ladders, sketchy",crimp,slab,comp,V5,Buck Yedor,,Dogpatch,indoor
2017-12-10,green,Green crimps on the wave,crimp,face,natural,V8,Radu Popescu,,Dogpatch,indoor
2017-12-22,orange,"Orange run and jump to pinches, heel-hook dynamic move to a pinch, easy topout",pinch,face,comp,V7,Nilo Batle,,Dogpatch,indoor
