index,date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
100059,2017-03-10,blue,"Blue undercling volume start, crimpy finish",crimp,face,natural,V6,SFG,,Dogpatch,indoor
100060,2017-03-10,yellow,"Yellow straight dyno, then sideways dyno",jug,cave,dyno,V6,Hiro,,Dogpatch,indoor
100061,2017-03-10,green,"Green crimps, second flash",crimp,face,natural,V6,Buck Yedor,,Dogpatch,indoor
100062,2017-03-13,white,"White arete, slab finish",crimp,arete,natural,V6,Zak Grinstead,,Dogpatch,indoor
100063,2017-03-14,pink,Pink jugs similar to outdoor climbing,sloper,face,natural,V7,Hiro,,Dogpatch,indoor
100064,2017-03-15,blue,"Blue Arete Comp Problem, Cave Start, Roof Finish","crimp, sloper",cave,comp,V6,Radu Popescu,,Dogpatch,indoor
100065,2017-03-15,purple,"Purple Sloper Mantle around Arete, Crimp finish",sloper,arete,natural,V6,LM,,Dogpatch,indoor
100066,2017-03-15,yellow,"Yellow traverse to a sideways dyno, short arete onto a sloper, finish out right on crimps",sloper,arete,natural,V7,Ben-BD,,Dogpatch,indoor
100067,2017-03-17,black,"Black Overhanging Crimps, powerful throw from an undercling, traverse to finish",crimp,overhang,natural,V6,Radu Popescu,,Dogpatch,indoor
100068,2017-03-28,yellow,"Yellow Crimps, Finish on some jugs",crimp,cave,dyno,V6,Craig,,Dogpatch,indoor
100069,2017-03-28,blue,"Black Dyno Start, Finish on roofs",jug,overhang,dyno,V6,Sean Nanos,,Dogpatch,indoor
100070,2017-10-15,green,"Green overhanging sidepull start, crimpy finish, flash",crimp,overhang,natural,V6,Buck Yedor,,Dogpatch,indoor
100071,2017-04-04,black,"Black Sidepull Foot Dyno, Sloper Finish",sloper,face,dyno,V7,LM,,Dogpatch,indoor
100072,2017-04-04,orange,Orange arete crimps,crimp,arete,natural,V6,Hiro,,Dogpatch,indoor
100073,2017-04-07,orange,"Orange corner back wall, swinging move","crimp, pinch",overhang,natural,V8,Zack-ZD,,Dogpatch,indoor
100074,2017-04-08,purple,"Purple Arete, traverse start, powerful move to a sidepull, traverse to slopers, crimp finish","crimp, sloper",face,natural,V7,Radu Popescu,,Dogpatch,indoor
100075,2017-04-10,purple,Purple overhanging crimps,crimp,overhang,natural,V6,Zak Grinstead,,Dogpatch,indoor
100076,2017-04-11,white,"White overhanging crimps, reachy moves",crimp,overhang,natural,V7,Zak Grinstead,,Dogpatch,indoor
100077,2017-04-11,white,White bat hang on crimps,crimp,overhang,dyno,V6,Morgan McGehee,,Dogpatch,indoor
100078,2017-04-13,blue,"Blue powerful sidepulls, sketchy mantle",sloper,overhang,natural,V6,Ski,,Dogpatch,indoor
100079,2017-04-13,orange,Orange sloper arete,sloper,arete,natural,V6,Eric Sanchez,,Dogpatch,indoor
100080,2017-04-13,yellow,Yellow crimp arete (hard),crimp,arete,natural,V7,Colin Baxter Green,,Dogpatch,indoor
100081,2017-04-13,green,"Green arete, throw to a sloper, cut feet, label said V9 but was super soft",sloper,face,dyno,V7,Ben Polanco,,Dogpatch,indoor
100082,2017-04-16,red,Red crimps and pinches on the back flat wall,crimp,overhang,natural,V8,Zak Grinstead,,Dogpatch,indoor
100083,2017-04-17,blue,"Blue crimp dyno to an undercling, crimp finish",crimp,face,natural,V7,Sean Nanos,,Dogpatch,indoor
100084,2017-04-18,purple,"Purple crimps, heel hook starting crimp, left hand into another crimp, dyno to topout",crimp,face,natural,V5,Joshua-Ski,,Dogpatch,indoor
100085,2017-04-26,green,"Green start on sidepulls, dyno to a crimp, jugy finish","crimp, jug",overhang,dyno,V5,Radu Popescu,,Dogpatch,indoor
100086,2017-04-28,green,"Green so-ill slopers, traverse right",sloper,slab,natural,V6,Zak Grinstead,,Dogpatch,indoor
100087,2017-05-02,purple,"Purple dragon ball holds, mantle",sloper,face,mantle,V5,LM,,Dogpatch,indoor
100088,2017-05-02,white,"White crimps on the front arch, soft, finished in 12 seconds",crimp,overhang,natural,V6,Ben-BD,,Dogpatch,indoor
100089,2017-05-03,black,Easy black comp problem with large sloper volumes (misgraded as V8),sloper,overhang,comp,V6,Radu Popescu,,Dogpatch,indoor
100090,2017-05-09,purple,Purple three dynos in a row,jug,face,dyno,V7,Sean Nanos,,Dogpatch,indoor
100091,2017-05-13,white,White sidepull on slopers,sloper,slab,natural,V6,Justin Alarcon,,Dogpatch,indoor
100092,2017-05-13,orange,Orange pinches to crimps,"crimp, pinch",face,natural,V6,Zak Grinstead,,Dogpatch,indoor
100093,2017-05-18,yellow,"Yellow volumes, mantle onto first volume, push on a ceiling, dyno to the top",jug,face,mantle,V6,Sean Nanos,,Dogpatch,indoor
100094,2017-05-19,orange,Orange pinches all the way,pinch,overhang,natural,V8,Ben Polanco,,Dogpatch,indoor
100095,2017-05-19,red,"Red cave dyno, slopers at the lip","crimp, jug, sloper",cave,dyno,V8,Sean Nanos,,Dogpatch,indoor
100096,2017-05-22,purple,"Purple Sideways Dyno, then dyno finish",jug,overhang,dyno,V7,Zak Grinstead,,Dogpatch,indoor
100097,2017-05-31,yellow,Yellow jugs on the low roof,jug,cave,natural,V5,Hiro,,Dogpatch,indoor
100098,2017-06-01,yellow,"Yellow arete in Mission Cliffs, big reaches, big holds",jug,arete,natural,V7,LM,,Mission Cliffs,indoor
100099,2017-06-02,red,"Red, traverse around arete, two opposing sidepulls",crimp,face,natural,V7,LM,,Dogpatch,indoor
100100,2017-06-05,black,"Black balancey moves, double clutch finish",sloper,face,comp,V8,Radu Popescu,,Dogpatch,indoor
100101,2017-06-07,orange,"Orange dyno to a jug, then bathang, traverse underneath, crimp and pinch finish",sloper,cave,dyno,V7,Sean Nanos,,Dogpatch,indoor
100102,2017-06-12,blue,"Blue crimpy, balancey start to a sloper, undercling dyno to the top, kid's wall",crimp,slab,natural,V7,Zak Grinstead,,Dogpatch,indoor
100103,2017-06-13,yellow,"Yellow traverse to arete, bicycle a pinch, then dyno finish from a sidepull",crimp,slab,natural,V7,Ben-BD,,Dogpatch,indoor
100104,2017-06-13,yellow,Yellow run and jump,jug,slab,dyno,V7,Clinic,,Dogpatch,indoor
100105,2017-06-21,white,"White traverse right, then traverse left, campus on crimps",crimp,face,natural,V7,Max Krimmer,,Ironworks,indoor
100106,2017-07-17,orange,"Orange run and jump, comp problem 58",jug,face,comp,V7,Woman Up,,Dogpatch,indoor
100107,2017-07-23,black,Black dyno to half crescent jug on the wave,"jug, sloper",face,dyno,V7,Max Krimmer,,Dogpatch,indoor
100108,2017-07-25,white,"White Comp Problem Number 61, dyno from an undercling, ",pinch,overhang,natural,V8,Woman Up,,Dogpatch,indoor
100109,2017-08-01,black,Black dyno to a half crescent sloper on the back wall,"jug, sloper",face,dyno,V7,Max Krimmer,,Dogpatch,indoor
100110,2017-08-09,pink,"Pink Comp Problem Number 52, Dynamic movements between jugs",jug,overhang,comp,V7,Woman Up,,Dogpatch,indoor
100111,2017-08-16,green,"Green Zak, two dynos to the top",sloper,overhang,dyno,V7,Zak Grinstead,,Dogpatch,indoor
100112,2017-08-18,green,"Green Comp Problem Number 56, So-Ill bubbles",sloper,face,comp,V7,Woman Up,,Dogpatch,indoor
100113,2017-08-20,pink,"Pink deadpoint to a right hand sloper, reachy left hand before top out",sloper,face,natural,V7,Max Krimmer,,Dogpatch,indoor
100114,2017-08-20,orange,"Orange Comp Problem Number 54, Jug start, left hand crimp to a hand jam, then crimps up. First V7 flash",crimp,face,comp,V7,Woman Up,,Dogpatch,indoor
100115,2017-08-20,white,"White undercling start, dynamic move to a pinch, match on sloper, dynamic move to crimp, crimpy finish","crimp, pinch",overhang,natural,V9,Morgan McGehee,,Dogpatch,indoor
100116,2017-08-22,yellow,Yellow Comp Final #1,sloper,slab,comp,V7,Woman Up,,Dogpatch,indoor
100117,2017-08-27,pink,"Pink crimps, knee bar through intro, then crimpy finish","crimp, pinch, sloper",overhang,natural,V8,Sean Nanos,,Dogpatch,indoor
100118,2017-08-27,yellow,"Yellow Comp Problem, Dyno Start, Mantel on a crimp to a sidepull jug","crimp, jug",face,dyno,V7,Radu Popescu,,Dogpatch,indoor
100119,2017-09-10,green,Green dyno onto two pipes,jug,overhang,dyno,V6,DC,,Cliffs of Id,indoor
100120,2017-09-12,orange,Orange overhanging dyno to a bad pinch,pinch,overhang,dyno,V8,Max Krimmer,,Dogpatch,indoor
100121,2017-09-13,green,Green overhanging traverse twice,jug,overhang,natural,V8,Ben Polanco,,Dogpatch,indoor
100122,2017-09-18,purple,Purple overhang crimp to pinch,"crimp, pinch",overhang,natural,V8,Mark Heal,,Dogpatch,indoor
100123,2017-09-18,orange,"Orange Comp Problem, do a sideways fall into a volume, then dyno from a crimp to a distant mushroom around the arete",jug,face,comp,V7,,,Dogpatch,indoor
100124,2017-09-21,purple,"Purple slopers with crimps behind them, face climbing","crimp, sloper",face,natural,V7,Colin Baxter Green,,Dogpatch,indoor
100125,2017-09-26,green,Light Green Roof Comp Problem,jug,cave,natural,V7,Woman Up,,Dogpatch,indoor
100126,2017-09-26,pink,"Pink face climb, dyno to an undercling sidepull, then some jugs, then a dyno finish","pinch, sloper",face,dyno,V7,Zak Grinstead,,Dogpatch,indoor
100127,2017-09-26,green,"Dark Green Roof Problem, good holds all the way through, finish on some crimps","crimp, jug",cave,natural,V7,Max Krimmer,,Dogpatch,indoor
100128,2017-09-27,pink,"Pink two dynos, mantle to the right for topout",jug,overhang,dyno,V7,Max Krimmer,,Dogpatch,indoor
100129,2017-09-28,yellow,Soft yellow crimp ladder on the mushroom,crimp,overhang,natural,V7,Max Krimmer,,Dogpatch,indoor
