index,date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
100035,2017-02-09,red,"Red high right foot, sidepull top.",crimp,face,natural,V6,Radu Popescu,,Dogpatch,indoor
100036,2017-02-10,green,Green slab traverse on crimps,crimp,slab,natural,V5,Radu Popescu,,Dogpatch,indoor
100037,2017-02-13,blue,Blue crimps on slab,crimp,slab,natural,V6,Jonathan Wright,,Dogpatch,indoor
100038,2017-02-14,blue,"Blue high undercling start, slab finish",crimp,slab,natural,V6,Ben-BD,,Dogpatch,indoor
100039,2017-02-15,blue,Blue dyno comp problem,jug,overhang,comp,V6,Radu Popescu,,Dogpatch,indoor
100040,2017-02-15,blue,Blue dyno comp problem,jug,overhang,mantle,V6,Radu Popescu,,Dogpatch,indoor
100041,2017-02-18,yellow,Yellow Crimp Double Traverse,crimp,face,natural,V6,Zak Grinstead,,Dogpatch,indoor
100042,2017-02-18,pink,Pink Sloper Dyno,sloper,face,dyno,V6,Jonathan Wright,,Dogpatch,indoor
100043,2017-02-19,blue,"Blue Dropknee Start, Slab finish on slopers",sloper,slab,natural,V6,Hiro,,Dogpatch,indoor
100044,2017-02-20,black,Black Sloper Dynos,sloper,face,dyno,V6,Jonathan Wright,,Dogpatch,indoor
100045,2017-02-20,blue,Blue Traverse Wall,crimp,face,mantle,V6,Hiro,,Dogpatch,indoor
100046,2017-02-20,orange,"Orange Arete, Undercling start",crimp,arete,natural,V6,Colin Baxter Green,,Dogpatch,indoor
100047,2017-02-21,orange,Orange overhanging crimps on volumes,crimp,overhang,natural,V7,Morgan McGehee,,Dogpatch,indoor
100048,2017-02-26,green,"Green slopers, finish on arete",sloper,arete,natural,V6,,,Ironworks,indoor
100049,2017-02-26,white,"White crimps, traverse finish",crimp,face,natural,V7,,,Ironworks,indoor
100050,2017-02-27,green,"Green Comp Problem dyno start, balancey finish",crimp,face,comp,V7,Radu Popescu,,Dogpatch,indoor
100051,2017-02-28,yellow,Yellow rose move,crimp,cave,natural,V6,Jeremy Ho,,Dogpatch,indoor
100052,2017-02-28,white,White Mirror Ape Traverse,"crimp, sloper",overhang,dyno,V7,Led Zep,,Dogpatch,indoor
100053,2017-03-02,black,Black Crimps Reachy Moves,crimp,overhang,natural,V7,Sean Nanos,,Dogpatch,indoor
100054,2017-03-07,blue,Blue hanging traverse start,crimp,overhang,natural,V6,Morgan McGehee,,Dogpatch,indoor
100055,2017-03-07,green,Green crimps,crimp,face,natural,V6,Hiro,,Dogpatch,indoor
100056,2017-03-07,pink,Pink cave traverse,jug,cave,natural,V6,Ben Polanco,,Dogpatch,indoor
100057,2017-03-07,blue,"Blue Crimps, shitty finish",crimp,face,natural,V6,LM,,Dogpatch,indoor
100058,2017-03-07,red,"Red crimps, can toehook crimp start hold",crimp,face,natural,V6,Ben-BD,,Dogpatch,indoor
