index_,date_,location_type,grade,display_grade,location,color,description,wall_type,hold_type,style,setter
100069,2017-03-28,indoor,6,V6,Dogpatch,blue,"Black Dyno Start, Finish on roofs",overhang,jug,dyno,Sean Nanos
100070,2017-10-15,indoor,6,V6,Dogpatch,green,"Green overhanging sidepull start, crimpy finish, flash",overhang,crimp,natural,Buck Yedor
100071,2017-04-04,indoor,7,V7,Dogpatch,black,"Black Sidepull Foot Dyno, Sloper Finish",face,sloper,dyno,LM
100072,2017-04-04,indoor,6,V6,Dogpatch,orange,Orange arete crimps,arete,crimp,natural,Hiro
100073,2017-04-07,indoor,8,V8,Dogpatch,orange,"Orange corner back wall, swinging move",overhang,"crimp, pinch",natural,Zack-ZD
100074,2017-04-08,indoor,7,V7,Dogpatch,purple,"Purple Arete, traverse start, powerful move to a sidepull, traverse to slopers, crimp finish",face,"crimp, sloper",natural,Radu Popescu
100075,2017-04-10,indoor,6,V6,Dogpatch,purple,Purple overhanging crimps,overhang,crimp,natural,Zak Grinstead
100076,2017-04-11,indoor,7,V7,Dogpatch,white,"White overhanging crimps, reachy moves",overhang,crimp,natural,Zak Grinstead
100077,2017-04-11,indoor,6,V6,Dogpatch,white,White bat hang on crimps,overhang,crimp,dyno,Morgan McGehee
100078,2017-04-13,indoor,6,V6,Dogpatch,blue,"Blue powerful sidepulls, sketchy mantle",overhang,sloper,natural,Ski
100079,2017-04-13,indoor,6,V6,Dogpatch,orange,Orange sloper arete,arete,sloper,natural,Eric Sanchez
100080,2017-04-13,indoor,7,V7,Dogpatch,yellow,Yellow crimp arete (hard),arete,crimp,natural,Colin Baxter Green
100081,2017-04-13,indoor,7,V7,Dogpatch,green,"Green arete, throw to a sloper, cut feet, label said V9 but was super soft",face,sloper,dyno,Ben Polanco
100082,2017-04-16,indoor,8,V8,Dogpatch,red,Red crimps and pinches on the back flat wall,overhang,crimp,natural,Zak Grinstead
100083,2017-04-17,indoor,7,V7,Dogpatch,blue,"Blue crimp dyno to an undercling, crimp finish",face,crimp,natural,Sean Nanos
